publicHoliday,weeks,days,hours,hourPerDay,A,B,C,D,E,F,G
0,1,1,1,1,1,1,1,1,1,1,1
0,1,1,2,2,1,1,1,1,1,1,1
0,1,1,3,3,1,1,1,1,1,1,1
0,1,1,4,4,1,1,1,1,1,1,1
0,1,1,5,5,1,1,1,1,1,1,1
0,1,1,6,6,1,1,1,1,1,1,1
0,1,1,7,7,1,1,1,1,1,1,1
0,1,1,8,8,1,1,1,1,1,1,1
0,1,1,9,9,1,1,1,1,1,1,1
0,1,1,10,10,1,1,1,1,1,1,1
0,1,1,11,11,1,1,1,1,1,1,1
0,1,1,12,12,1,1,1,1,1,1,1
0,1,1,13,13,1,1,1,1,1,1,1
0,1,1,14,14,1,1,1,1,1,1,1
0,1,1,15,15,1,1,1,1,1,1,1
0,1,1,16,16,1,1,1,1,1,1,1
0,1,1,17,17,1,1,1,1,1,1,1
0,1,1,18,18,1,1,1,1,1,1,1
0,1,1,19,19,1,1,1,1,1,1,1
0,1,1,20,20,1,1,1,1,1,1,1
0,1,1,21,21,1,1,1,1,1,1,1
0,1,1,22,22,1,1,1,1,1,1,1
0,1,1,23,23,1,1,1,1,1,1,1
0,1,1,24,24,1,1,1,1,1,1,1
1,1,2,25,1,0,1,1,1,1,1,1
1,1,2,26,2,0,1,1,1,1,1,1
1,1,2,27,3,0,1,1,1,1,1,1
1,1,2,28,4,0,1,1,1,1,1,1
1,1,2,29,5,0,1,1,1,1,1,1
1,1,2,30,6,0,1,1,1,1,1,1
1,1,2,31,7,0,1,1,1,1,1,1
1,1,2,32,8,0,1,1,1,1,1,1
1,1,2,33,9,0,1,1,1,1,1,1
1,1,2,34,10,0,1,1,1,1,1,1
1,1,2,35,11,0,1,1,1,1,1,1
1,1,2,36,12,0,1,1,1,1,1,1
1,1,2,37,13,0,1,1,1,1,1,1
1,1,2,38,14,0,1,1,1,1,1,1
1,1,2,39,15,0,1,1,1,1,1,1
1,1,2,40,16,0,1,1,1,1,1,1
1,1,2,41,17,0,1,1,1,1,1,1
1,1,2,42,18,0,1,1,1,1,1,1
1,1,2,43,19,0,1,1,1,1,1,1
1,1,2,44,20,0,1,1,1,1,1,1
1,1,2,45,21,0,1,1,1,1,1,1
1,1,2,46,22,0,1,1,1,1,1,1
1,1,2,47,23,0,1,1,1,1,1,1
1,1,2,48,24,0,1,1,1,1,1,1
0,1,3,49,1,1,1,1,1,1,1,1
0,1,3,50,2,1,1,1,1,1,1,1
0,1,3,51,3,1,1,1,1,1,1,1
0,1,3,52,4,1,1,1,1,1,1,1
0,1,3,53,5,1,1,1,1,1,1,1
0,1,3,54,6,1,1,1,1,1,1,1
0,1,3,55,7,1,1,1,1,1,1,1
0,1,3,56,8,1,1,1,1,1,1,1
0,1,3,57,9,1,1,1,1,1,1,1
0,1,3,58,10,1,1,1,1,1,1,1
0,1,3,59,11,1,1,1,1,1,1,1
0,1,3,60,12,1,1,1,1,1,1,1
0,1,3,61,13,1,1,1,1,1,1,1
0,1,3,62,14,1,1,1,1,1,1,1
0,1,3,63,15,1,1,1,1,1,1,1
0,1,3,64,16,1,1,1,1,1,1,1
0,1,3,65,17,1,1,1,1,1,1,1
0,1,3,66,18,1,1,1,1,1,1,1
0,1,3,67,19,1,1,1,1,1,1,1
0,1,3,68,20,1,1,1,1,1,1,1
0,1,3,69,21,1,1,1,1,1,1,1
0,1,3,70,22,1,1,1,1,1,1,1
0,1,3,71,23,1,1,1,1,1,1,1
0,1,3,72,24,1,1,1,1,1,1,1
0,1,4,73,1,1,1,1,1,1,1,1
0,1,4,74,2,1,1,1,1,1,1,1
0,1,4,75,3,1,1,1,1,1,1,1
0,1,4,76,4,1,1,1,1,1,1,1
0,1,4,77,5,1,1,1,1,1,1,1
0,1,4,78,6,1,1,1,1,1,1,1
0,1,4,79,7,1,1,1,1,1,1,1
0,1,4,80,8,1,1,1,1,1,1,1
0,1,4,81,9,1,1,1,1,1,1,1
0,1,4,82,10,1,1,1,1,1,1,1
0,1,4,83,11,1,1,1,1,1,1,1
0,1,4,84,12,1,1,1,1,1,1,1
0,1,4,85,13,1,1,1,1,1,1,1
0,1,4,86,14,1,1,1,1,1,1,1
0,1,4,87,15,1,1,1,1,1,1,1
0,1,4,88,16,1,1,1,1,1,1,1
0,1,4,89,17,1,1,1,1,1,1,1
0,1,4,90,18,1,1,1,1,1,1,1
0,1,4,91,19,1,1,1,1,1,1,1
0,1,4,92,20,1,1,1,1,1,1,1
0,1,4,93,21,1,1,1,1,1,1,1
0,1,4,94,22,1,1,1,1,1,1,1
0,1,4,95,23,1,1,1,1,1,1,1
0,1,4,96,24,1,1,1,1,1,1,1
0,1,5,97,1,1,1,1,1,1,1,1
0,1,5,98,2,1,1,1,1,1,1,1
0,1,5,99,3,1,1,1,1,1,1,1
0,1,5,100,4,1,1,1,1,1,1,1
0,1,5,101,5,1,1,1,1,1,1,1
0,1,5,102,6,1,1,1,1,1,1,1
0,1,5,103,7,1,1,1,1,1,1,1
0,1,5,104,8,1,1,1,1,1,1,1
0,1,5,105,9,1,1,1,1,1,1,1
0,1,5,106,10,1,1,1,1,1,1,1
0,1,5,107,11,1,1,1,1,1,1,1
0,1,5,108,12,1,1,1,1,1,1,1
0,1,5,109,13,1,1,1,1,1,1,1
0,1,5,110,14,1,1,1,1,1,1,1
0,1,5,111,15,1,1,1,1,1,1,1
0,1,5,112,16,1,1,1,1,1,1,1
0,1,5,113,17,1,1,1,1,1,1,1
0,1,5,114,18,1,1,1,1,1,1,1
0,1,5,115,19,1,1,1,1,1,1,1
0,1,5,116,20,1,1,1,1,1,1,1
0,1,5,117,21,1,1,1,1,1,1,1
0,1,5,118,22,1,1,1,1,1,1,1
0,1,5,119,23,1,1,1,1,1,1,1
0,1,5,120,24,1,1,1,1,1,1,1
0,1,6,121,1,1,1,1,1,1,1,1
0,1,6,122,2,1,1,1,1,1,1,1
0,1,6,123,3,1,1,1,1,1,1,1
0,1,6,124,4,1,1,1,1,1,1,1
0,1,6,125,5,1,1,1,1,1,1,1
0,1,6,126,6,1,1,1,1,1,1,1
0,1,6,127,7,1,1,1,1,1,1,1
0,1,6,128,8,1,1,1,1,1,1,1
0,1,6,129,9,1,1,1,1,1,1,1
0,1,6,130,10,1,1,1,1,1,1,1
0,1,6,131,11,1,1,1,1,1,1,1
0,1,6,132,12,1,1,1,1,1,1,1
0,1,6,133,13,1,1,1,1,1,1,1
0,1,6,134,14,1,1,1,1,1,1,1
0,1,6,135,15,1,1,1,1,1,1,1
0,1,6,136,16,1,1,1,1,1,1,1
0,1,6,137,17,1,1,1,1,1,1,1
0,1,6,138,18,1,1,1,1,1,1,1
0,1,6,139,19,1,1,1,1,1,1,1
0,1,6,140,20,1,1,1,1,1,1,1
0,1,6,141,21,1,1,1,1,1,1,1
0,1,6,142,22,1,1,1,1,1,1,1
0,1,6,143,23,1,1,1,1,1,1,1
0,1,6,144,24,1,1,1,1,1,1,1
0,1,7,145,1,1,1,1,1,1,1,1
0,1,7,146,2,1,1,1,1,1,1,1
0,1,7,147,3,1,1,1,1,1,1,1
0,1,7,148,4,1,1,1,1,1,1,1
0,1,7,149,5,1,1,1,1,1,1,1
0,1,7,150,6,1,1,1,1,1,1,1
0,1,7,151,7,1,1,1,1,1,1,1
0,1,7,152,8,1,1,1,1,1,1,1
0,1,7,153,9,1,1,1,1,1,1,1
0,1,7,154,10,1,1,1,1,1,1,1
0,1,7,155,11,1,1,1,1,1,1,1
0,1,7,156,12,1,1,1,1,1,1,1
0,1,7,157,13,1,1,1,1,1,1,1
0,1,7,158,14,1,1,1,1,1,1,1
0,1,7,159,15,1,1,1,1,1,1,1
0,1,7,160,16,1,1,1,1,1,1,1
0,1,7,161,17,1,1,1,1,1,1,1
0,1,7,162,18,1,1,1,1,1,1,1
0,1,7,163,19,1,1,1,1,1,1,1
0,1,7,164,20,1,1,1,1,1,1,1
0,1,7,165,21,1,1,1,1,1,1,1
0,1,7,166,22,1,1,1,1,1,1,1
0,1,7,167,23,1,1,1,1,1,1,1
0,1,7,168,24,1,1,1,1,1,1,1
